raman_shift_cm^-1,normalized_intensity
1200.0,0.011664
1202.0,0.011664
1204.0,0.011664
1206.0,0.011596
1208.0,0.012014
1210.0,0.013394
1212.0,0.013122
1214.0,0.01212
1216.0,0.01118
1218.0,0.011378
1220.0,0.012193
1222.0,0.013381
1224.0,0.015081
1226.0,0.014593
1228.0,0.013408
1230.0,0.012951
1232.0,0.013364
1234.0,0.013117
1236.0,0.011746
1238.0,0.011342
1240.0,0.012059
1242.0,0.012741
1244.0,0.012216
1246.0,0.011016
1248.0,0.011701
1250.0,0.013517
1252.0,0.014549
1254.0,0.013523
1256.0,0.012221
1258.0,0.013295
1260.0,0.015058
1262.0,0.015694
1264.0,0.014307
1266.0,0.014014
1268.0,0.012873
1270.0,0.012298
1272.0,0.013489
1274.0,0.01318
1276.0,0.012902
1278.0,0.01383
1280.0,0.013992
1282.0,0.012841
1284.0,0.013759
1286.0,0.013774
1288.0,0.012914
1290.0,0.01265
1292.0,0.01317
1294.0,0.015253
1296.0,0.016191
1298.0,0.01635
1300.0,0.015096
1302.0,0.014547
1304.0,0.012782
1306.0,0.012211
1308.0,0.012773
1310.0,0.013675
1312.0,0.015671
1314.0,0.017234
1316.0,0.016949
1318.0,0.015778
1320.0,0.015221
1322.0,0.014737
1324.0,0.014104
1326.0,0.013468
1328.0,0.012914
1330.0,0.013869
1332.0,0.015318
1334.0,0.016294
1336.0,0.016734
1338.0,0.017439
1340.0,0.017934
1342.0,0.019365
1344.0,0.021511
1346.0,0.023564
1348.0,0.02574
1350.0,0.026668
1352.0,0.02507
1354.0,0.023322
1356.0,0.022049
1358.0,0.020617
1360.0,0.019166
1362.0,0.019008
1364.0,0.019046
1366.0,0.019172
1368.0,0.01789
1370.0,0.016208
1372.0,0.013999
1374.0,0.0128
1376.0,0.01376
1378.0,0.015143
1380.0,0.015688
1382.0,0.014848
1384.0,0.014184
1386.0,0.015086
1388.0,0.017065
1390.0,0.017122
1392.0,0.016111
1394.0,0.014385
1396.0,0.013052
1398.0,0.013034
1400.0,0.014035
1402.0,0.012921
1404.0,0.013957
1406.0,0.015294
1408.0,0.016842
1410.0,0.0173
1412.0,0.015947
1414.0,0.014744
1416.0,0.014711
1418.0,0.01524
1420.0,0.015246
1422.0,0.01528
1424.0,0.014827
1426.0,0.014651
1428.0,0.01588
1430.0,0.0166
1432.0,0.015528
1434.0,0.014712
1436.0,0.015368
1438.0,0.014662
1440.0,0.01476
1442.0,0.015612
1444.0,0.01702
1446.0,0.017201
1448.0,0.016701
1450.0,0.015092
1452.0,0.014118
1454.0,0.014279
1456.0,0.01505
1458.0,0.015195
1460.0,0.015908
1462.0,0.015961
1464.0,0.015019
1466.0,0.013356
1468.0,0.012295
1470.0,0.013718
1472.0,0.015213
1474.0,0.015354
1476.0,0.014452
1478.0,0.014896
1480.0,0.016641
1482.0,0.017209
1484.0,0.016975
1486.0,0.016662
1488.0,0.01642
1490.0,0.015499
1492.0,0.01517
1494.0,0.014366
1496.0,0.014094
